,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,log_pvalue_control_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE,log_pvalue_HI-VAE_weibull_prior,log_pvalue_control_HI-VAE_weibull_prior,est_cox_coef_HI-VAE_weibull_prior,est_cox_coef_se_HI-VAE_weibull_prior,J-S distance_HI-VAE_weibull_prior,KS test_HI-VAE_weibull_prior,Survival curves distance_HI-VAE_weibull_prior,Detection XGB_HI-VAE_weibull_prior,NNDR_HI-VAE_weibull_prior,K-map score_HI-VAE_weibull_prior,log_pvalue_HI-VAE_piecewise_prior,log_pvalue_control_HI-VAE_piecewise_prior,est_cox_coef_HI-VAE_piecewise_prior,est_cox_coef_se_HI-VAE_piecewise_prior,J-S distance_HI-VAE_piecewise_prior,KS test_HI-VAE_piecewise_prior,Survival curves distance_HI-VAE_piecewise_prior,Detection XGB_HI-VAE_piecewise_prior,NNDR_HI-VAE_piecewise_prior,K-map score_HI-VAE_piecewise_prior
0,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,1.4718050636381352,2.7911713278155146,0.10605268508145836,0.08829820570898213,0.00651150156699087,0.9518394648829431,0.03212855444295935,0.5820310734463277,0.4151893874011769,1.0,1.3551855896419895,2.8162558635036654,0.09919507110131556,0.08771214718354997,0.007744460946582495,0.9509476031215163,0.03163362963068861,0.6253804143126176,0.34012061321329184,3.0,2.19977987751791,0.7965605311125087,-0.14594657350511367,0.09160669078938734,0.01604389479664298,0.8530657748049054,0.0339422816239905,0.923147834274953,0.22384881022214262,2.0,1.086428825129217,0.5153868629202849,-0.09174824488491326,0.09567335037263293,0.014010429948783928,0.9052396878483836,0.021999123454515972,0.8575772128060264,0.20984990299994646,1.0,7.2518042754509455,10.639018545593002,0.29889399517815524,0.08858359754989469,0.0062344038716282985,0.9511705685618728,0.0529985820612196,0.5828860640301319,0.38817182515281723,11.0,5.182425547952101,7.4269217633663995,0.24711602440421743,0.08944617846919574,0.006987625439786806,0.9438127090301003,0.05590976218615463,0.5940499058380414,0.4531128542867393,10.0
1,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,4.512698096751937,6.351376179316318,0.22783266507014197,0.08974877415447224,0.006388015448271987,0.9522853957636567,0.050339843432715324,0.6010470809792844,0.38263070263996096,2.0,6.329211171051998,8.32255103815564,0.27794133583214664,0.08923776177997557,0.006238162969100789,0.9545150501672242,0.05505768238479379,0.5841845574387947,0.33312268309784265,1.0,3.1067369904728745,1.7195814274902077,-0.18458872634701415,0.09208646125130608,0.018746979956463163,0.8276477146042365,0.03981590042669322,0.9397542372881356,0.21688204226640265,2.0,0.7582428378681897,1.7305674810274942,0.07090044780962858,0.09782106775957726,0.015492986747731297,0.8947603121516167,0.038145113626750264,0.8415047080979285,0.18505709459222777,2.0,10.919933240106891,14.602496543182928,0.38337158156094536,0.08992874853690472,0.006886575508698126,0.9480490523968785,0.06726802769002063,0.6901167608286253,0.4350514320734489,11.0,4.46870585970501,6.779711613517126,0.22458571801082508,0.08900435116489659,0.0064698244609746386,0.9509476031215163,0.05106159300374584,0.6359670433145009,0.41654871770189483,4.0
2,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,5.305583590214516,7.708439380854243,0.24980538840986047,0.08913853522474983,0.006803317758630197,0.9500557413600892,0.050245601056858116,0.5839952919020716,0.2993474387955621,3.0,2.931445361856411,5.010230816534241,0.1704290990483749,0.0883028522596375,0.006365185540630842,0.9469342251950948,0.03911304468437909,0.6198531073446328,0.33272040639736455,1.0,2.6569364022150443,1.1669430356999055,-0.16726857992392458,0.09246474935329187,0.018861069451154292,0.8222965440356745,0.04378204448977594,0.9427580037664784,0.22704818029112608,1.0,1.0405937056113415,2.1298004300703797,0.09000695109773292,0.09698792630939804,0.01281885696664183,0.9117056856187292,0.03496590706710539,0.8446195856873822,0.18543316565754708,2.0,7.909212900283466,10.337883111270116,0.3157654584826649,0.08897587091575522,0.009223210475356493,0.939799331103679,0.05721112045940216,0.6291967984934086,0.4374509793156705,2.0,3.729066835359332,5.318557335764744,0.20129671891894463,0.08933500119827134,0.006089773476206499,0.9520624303232998,0.04363236260661708,0.6010423728813559,0.28482180844651395,5.0
3,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,3.106844818850361,4.818077287220085,0.17906592375748073,0.08933349373690543,0.0056604849816656545,0.9520624303233,0.042427368893168546,0.605806967984934,0.41440568463035793,2.0,5.961175701397877,7.998928820863802,0.2685330736435189,0.08934532578105436,0.006528353837718176,0.9487179487179489,0.05360079496784973,0.6271610169491526,0.3681162596441985,2.0,2.1125986557140415,0.9061331633557413,-0.1425399701328533,0.0919757933217467,0.01839940008902529,0.8294314381270903,0.040268999978666904,0.9110433145009414,0.21333833575614372,2.0,1.1140197759936592,1.9456472313039481,0.09609044763085234,0.0983196422159178,0.013088438345149524,0.907469342251951,0.019744572467388977,0.8541977401129943,0.24635020984249223,2.0,8.854121288157236,12.444356076155337,0.3389500996131515,0.08952259342641655,0.007230570837643793,0.9431438127090301,0.05693136273647031,0.6887749529190207,0.3528288591389496,3.0,2.5947013343735064,4.438274965211753,0.15727875676619746,0.08831048370219559,0.00669931478375116,0.950278706800446,0.03616341419619933,0.6052787193973634,0.41497985920660296,6.0
4,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,1.4226584802117217,3.0653041435521726,0.10303481817872645,0.08792823640150502,0.006126274285257899,0.9556298773690078,0.027772929396630838,0.619364406779661,0.4125739830626647,9.0,4.006441561951877,6.3121320579861075,0.20852316149935513,0.08845381556452477,0.006833129693658489,0.9496098104793755,0.0376567345644257,0.5924312617702447,0.3588303382577732,2.0,2.2202228229192102,0.8789112144450982,-0.14686282118846952,0.0916008823744602,0.019183448208578632,0.8234113712374582,0.03907243607013165,0.9360291902071565,0.18890200360736426,2.0,2.591540714292122,4.147228909934642,0.1740679060825576,0.09784985201870507,0.012951209381972141,0.9018952062430323,0.03501846757136422,0.8566666666666667,0.21848710076607172,2.0,12.811041743243155,16.543065663956003,0.4200939918981529,0.09017324530095082,0.0062177394567387015,0.9500557413600892,0.07500763015513043,0.5999726930320151,0.4292615290351134,1.0,6.620396229638994,8.629509386096633,0.28759044095639774,0.0899126421049773,0.006050441719964608,0.9500557413600891,0.06277682145220051,0.6410772128060265,0.423431822006678,5.0
5,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,0.5286587211111797,1.7088148052723542,0.047483485867430175,0.08798726637226593,0.006325496935751422,0.9583054626532888,0.022021388373830376,0.5690084745762711,0.4057584043202541,2.0,3.269448487438448,5.3690878678276155,0.1827780702474672,0.08822400005892028,0.00785421442997265,0.9480490523968784,0.034887753592975544,0.6134821092278719,0.3515724387755393,2.0,3.6451167457138354,2.313177009439513,-0.20473507825526524,0.09217891826807013,0.017222671397976144,0.837458193979933,0.0421680833079593,0.9317401129943501,0.2565743382731112,2.0,0.3349364403113297,1.1588872035994757,0.03495831507581268,0.09587647436425405,0.01472398143120537,0.9030100334448161,0.023294108275638197,0.8658446327683617,0.2157508831650835,1.0,12.8459064986742,17.189354542325937,0.4218370578511499,0.09042212915890413,0.007563689767338763,0.9420289855072465,0.07079256212522608,0.6344576271186441,0.41557369922812454,2.0,3.4606706798312104,5.554049372863573,0.1911561226486451,0.08896345395880531,0.00561739332759109,0.958974358974359,0.04638942282443262,0.594771186440678,0.3622576820653585,3.0
6,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,2.749470491689228,3.9721668297620987,0.16485910358307648,0.08909275436931252,0.005710286358248218,0.9580824972129319,0.04174100753219931,0.5832438794726931,0.4304776632654582,1.0,2.4811853739856726,4.0102407826368545,0.15328912005576106,0.0886942854764403,0.006164618815367168,0.954515050167224,0.044439551592130366,0.6329651600753297,0.43877955929363793,2.0,3.4050459031756906,1.8294079832114785,-0.19660992886356446,0.09245462839073403,0.018550786479953514,0.8321070234113712,0.04066696176556474,0.9294623352165725,0.23368370839735506,1.0,1.5308923278193574,0.6485909902209158,-0.11964840648247856,0.09683184522641715,0.013294772210949162,0.9047937569676702,0.0353616440070722,0.8721308851224105,0.17909147885664126,1.0,9.295534040277843,12.24712949264015,0.35091679366736217,0.09014462600089584,0.007763201088947994,0.9429208472686734,0.06738815435731939,0.6428135593220339,0.40345946708443453,13.0,9.162418422426503,12.011485863087639,0.3488076820914599,0.0903594484995236,0.007587313636229793,0.9453734671125976,0.06483019913968614,0.636457627118644,0.46095606701759206,5.0
7,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,1.4897423762253397,3.0275151204689954,0.10666808271682815,0.08803556348143496,0.006988543737372415,0.9496098104793756,0.030491921720677533,0.5536544256120528,0.2785468693801057,9.0,2.595204738567323,4.362540208075965,0.15718015969569463,0.08825573856792907,0.0067234775237817864,0.9509476031215163,0.03550961672965327,0.6550762711864407,0.39882211480613083,3.0,3.711039656624981,2.157734703678416,-0.2070713024781833,0.09217963057272334,0.019545063281320472,0.8294314381270903,0.037043754657638865,0.9171440677966102,0.19486655761022253,2.0,2.8212762757131142,4.312397300629081,0.18744871843617048,0.09961757513677102,0.01638407443288055,0.8925306577480491,0.04872209912014269,0.8509350282485876,0.20453734277574628,6.0,11.53675094523874,15.281539931816392,0.394815367875939,0.08981598073922992,0.007762016865148344,0.937346711259755,0.06933039542255592,0.6692193973634651,0.2669342719962731,1.0,2.6354786312937803,4.595295749269227,0.15875993954032452,0.08823512695565078,0.007256657041480865,0.9493868450390189,0.03350575415762362,0.5515499058380413,0.3172957410191637,3.0
8,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,1.6490798442961427,3.3953276988390275,0.11584003965458493,0.08888199517110201,0.005718164788080015,0.9569676700111482,0.030483299478718515,0.5875960451977402,0.2737845625640804,1.0,2.973269697850654,4.149595513473643,0.17286074744757376,0.08873740496913274,0.006953605164078512,0.9509476031215162,0.041985669308163207,0.5592137476459509,0.2536538843936281,3.0,2.56991534248721,1.12873446187163,-0.16301470397045678,0.09213118804279788,0.020171649078839882,0.8198439241917501,0.04222097106902353,0.9309048964218455,0.2254871493152886,1.0,1.6525213700067884,2.9224262460229538,0.12433703545587758,0.09526491358423317,0.01328101015793163,0.9099219620958752,0.03225928914700877,0.8600197740112995,0.24459669622470837,1.0,4.789010812541615,6.749584164169021,0.23467384131494393,0.08912369961383547,0.006956561710343066,0.9400222965440357,0.05193540699037255,0.6034425612052731,0.3473646427756101,2.0,6.373851273172485,8.630236602172602,0.2802718478889378,0.08961477063615877,0.008350639523117633,0.939799331103679,0.06069145671316688,0.6239086629001883,0.35252053355721485,3.0
9,240,253,259,0.0034266868486105538,0.0,0.7002916455884074,-0.06034716016094203,0.0887458010789639,3.996572327842414,5.796810066233538,0.21040512015599905,0.0893915597940072,0.005789167166294602,0.9560758082497213,0.04972214013695845,0.620328625235405,0.49966378099800746,2.0,3.0596200798188127,4.580510793227919,0.17817478308188683,0.0897792219171197,0.006323174040687882,0.9496098104793759,0.04195170021824159,0.5914896421845575,0.3821402825011862,1.0,0.8775961463028543,0.0210892259167366,-0.07406322578375617,0.091032247675186,0.020731797124938455,0.8265328874024527,0.036658363644123816,0.9214576271186441,0.23541878085436263,1.0,0.3668714991757283,1.1606329230557173,0.03870038932372013,0.0980001308982925,0.012363640422133759,0.910813823857302,0.03265892905207328,0.8456798493408663,0.17869297594919797,1.0,9.259818492382497,12.136296524824257,0.34759756263414227,0.08948292980056395,0.00703603012279769,0.9431438127090301,0.06572141119747457,0.6625094161958568,0.36993443227004313,1.0,4.543894146397475,6.334938836024168,0.22703470174923296,0.08905711068562995,0.0064369116283866995,0.9525083612040135,0.04949018873088754,0.5771129943502825,0.4529456564264748,8.0
