,XP_num,D_control,D_treated,H0_coef_univ,H0_coef,log_pvalue_init,est_cox_coef_init,est_cox_coef_se_init,log_pvalue_HI-VAE_weibull,log_pvalue_control_HI-VAE_weibull,est_cox_coef_HI-VAE_weibull,est_cox_coef_se_HI-VAE_weibull,J-S distance_HI-VAE_weibull,KS test_HI-VAE_weibull,Survival curves distance_HI-VAE_weibull,Detection XGB_HI-VAE_weibull,NNDR_HI-VAE_weibull,K-map score_HI-VAE_weibull,log_pvalue_HI-VAE_piecewise,log_pvalue_control_HI-VAE_piecewise,est_cox_coef_HI-VAE_piecewise,est_cox_coef_se_HI-VAE_piecewise,J-S distance_HI-VAE_piecewise,KS test_HI-VAE_piecewise,Survival curves distance_HI-VAE_piecewise,Detection XGB_HI-VAE_piecewise,NNDR_HI-VAE_piecewise,K-map score_HI-VAE_piecewise,log_pvalue_Surv-GAN,log_pvalue_control_Surv-GAN,est_cox_coef_Surv-GAN,est_cox_coef_se_Surv-GAN,J-S distance_Surv-GAN,KS test_Surv-GAN,Survival curves distance_Surv-GAN,Detection XGB_Surv-GAN,NNDR_Surv-GAN,K-map score_Surv-GAN,log_pvalue_Surv-VAE,log_pvalue_control_Surv-VAE,est_cox_coef_Surv-VAE,est_cox_coef_se_Surv-VAE,J-S distance_Surv-VAE,KS test_Surv-VAE,Survival curves distance_Surv-VAE,Detection XGB_Surv-VAE,NNDR_Surv-VAE,K-map score_Surv-VAE
4795,95,241,230,-0.5706452603895495,1.0,32.433843650521816,-0.7186148352840639,0.09437183660300473,16.308286438598646,4.032143743167806,-0.5027204076560344,0.09470569316819281,0.005291410028030081,0.9619047619047619,0.04079037421963413,0.5651512206961983,0.41520427090015155,6.0,14.2802573338061,3.780503682317884,-0.46480024347440546,0.09410627925033066,0.0055815499894088195,0.9623809523809524,0.047628178576089725,0.574810026002268,0.38846717281557414,4.0,33.20770051312748,0.490144832923141,-0.7596558432753125,0.09865947689524007,0.021956143071720762,0.8409523809523809,0.044333871334117814,0.8872419145738162,0.4311472631351353,3.0,41.25194199428304,1.2301096806246627,-0.9091591611266953,0.1060845066830971,0.01067626600726749,0.9304761904761905,0.03180067516047812,0.755967360634485,0.3163600571775503,4.0
4796,95,241,230,-0.5706452603895495,1.0,32.433843650521816,-0.7186148352840639,0.09437183660300473,11.617685253787268,6.3678298909200395,-0.4130359870392519,0.0936767309409656,0.006329801919258733,0.9573809523809526,0.06014325563565283,0.5841637905091313,0.44921273278680607,6.0,24.80339265126911,1.2167854327223646,-0.629456433076339,0.09498232896661947,0.004736196828626679,0.9661904761904762,0.023879267800195062,0.5300616887616245,0.5020184556335625,2.0,28.784325661479325,1.4409156450348417,-0.6959564022808108,0.09721354630104463,0.0191356425386534,0.8566666666666667,0.04501915041506496,0.8854178197946879,0.38403526333469895,4.0,38.47088843510801,0.746440553113439,-0.8732669438797009,0.10546756409964399,0.010782097129997696,0.9257142857142857,0.029870113173379807,0.719332944652315,0.41738533327976535,7.0
4797,95,241,230,-0.5706452603895495,1.0,32.433843650521816,-0.7186148352840639,0.09437183660300473,23.021835813138434,1.0901992864525687,-0.5940838381994359,0.09316985285790039,0.005986300257554386,0.9592857142857142,0.024440578748234847,0.5331112767515451,0.4973917800097628,8.0,17.766663999282656,3.69635580643186,-0.5235953517898719,0.09421009521515043,0.005647581490975074,0.9616666666666667,0.04370765358863698,0.5807275715062373,0.42210881879739504,7.0,29.742404243585828,1.2741140680715042,-0.7067606575049128,0.09708511695334912,0.01815666873380573,0.8559523809523808,0.04718476729445314,0.9010441907357797,0.3408245679375023,1.0,41.291958457256925,0.998929441909744,-0.9137571418383096,0.10650714794682013,0.012351950550738778,0.9173809523809523,0.03788986747958823,0.7959240153209203,0.3884910794680796,5.0
4798,95,241,230,-0.5706452603895495,1.0,32.433843650521816,-0.7186148352840639,0.09437183660300473,24.342941308678803,1.3197470166413883,-0.6163885531824188,0.09388074275809481,0.005301506628168641,0.9588095238095238,0.021200055195155425,0.5190539799214274,0.4407655182822575,9.0,28.27101365181885,0.4787875935259213,-0.6722470121875067,0.09475495594559945,0.005954413476214868,0.959047619047619,0.015243011895876454,0.5408910471345435,0.33574840551128304,3.0,33.822924217648726,0.35733201216955696,-0.7542538938016429,0.09702157527139942,0.019288228148124264,0.8554761904761904,0.03167004484149305,0.8677910536125605,0.4111840529860531,4.0,41.198804281499136,1.0812006276716386,-0.9212418631847522,0.10764378691077912,0.010950300925906823,0.9247619047619046,0.04131609944933916,0.8022655019356151,0.31630992203724306,4.0
4799,95,241,230,-0.5706452603895495,1.0,32.433843650521816,-0.7186148352840639,0.09437183660300473,17.607897701189575,4.084297593745825,-0.5245296191419477,0.09482572518859081,0.004509551544238367,0.9638095238095239,0.045162264127702835,0.5371747973979693,0.4685046670098277,3.0,33.39045355888844,0.05829695643754611,-0.7289235031681535,0.09434379205862828,0.005866802364478356,0.9635714285714285,0.012347702477447934,0.5136911658708546,0.3568452388401703,4.0,31.304266112057284,0.8827029388228809,-0.7303293772561998,0.09776798590270915,0.023539474763217102,0.8316666666666668,0.04230734288950589,0.9085701704538467,0.3718264388497046,1.0,38.144881817191205,0.7672622430171728,-0.9128127201516498,0.11089713486906277,0.012499261001098484,0.912142857142857,0.04533129949777162,0.7555298894883103,0.33811545097754164,6.0
4800,96,275,259,0.0034911537882988102,0.0,0.0640898025588625,0.006745525581625648,0.0868272500574689,0.9126562506359271,0.9442379231323722,-0.07302960629993308,0.08706044441559779,0.006169799851943621,0.9533333333333334,0.01931849324907258,0.5428340354464402,0.44515549230000784,11.0,0.055933319175854396,0.1021527459330205,-0.005887953516363612,0.08651197590536396,0.005504080530648367,0.9597849462365591,0.009871303302329047,0.5516533494783095,0.44939174069976867,11.0,19.963977240919974,18.859281211611872,-0.5293834654291106,0.08934029449290778,0.013714558512512647,0.8761290322580645,0.07853038951515678,0.8745175238247157,0.4241163857002798,1.0,1.406787561657158,1.6916085569128991,0.11008796576277108,0.09472520075806554,0.011727929804770465,0.923225806451613,0.03600789081378183,0.7833618529018661,0.39544956630843947,4.0
4801,96,275,259,0.0034911537882988102,0.0,0.0640898025588625,0.006745525581625648,0.0868272500574689,0.07889293827318529,0.11333781653061532,0.008270800381821496,0.0870758381362896,0.004476872677368465,0.9608602150537634,0.015107107171117639,0.5805451225495527,0.5460967216380834,10.0,1.842626095858994,1.6497921864717697,0.12272213939630126,0.08706175183497496,0.0049449540532722075,0.9623655913978494,0.024749979063952945,0.5730427237638095,0.46366134169027046,10.0,13.960150793036709,13.154145760088888,-0.43138484497466517,0.08830378584403974,0.012963463878059822,0.8834408602150537,0.06821385889409523,0.8465804312255437,0.4641918924126757,5.0,0.23927930368476186,0.07608458136311742,-0.025560675147075888,0.0946874539757335,0.011728940351398232,0.9191397849462366,0.037363576130363334,0.7949612206375333,0.3609735811849511,5.0
4802,96,275,259,0.0034911537882988102,0.0,0.0640898025588625,0.006745525581625648,0.0868272500574689,0.38266288350220323,0.38320145922131765,-0.03558704162867605,0.08687059400778316,0.005679487163642804,0.9548387096774192,0.017501999173725618,0.583656293277841,0.5227726863277007,10.0,0.019255635200870588,0.03070542569972732,0.002067484098077991,0.08670496880916274,0.005843284275516811,0.9610752688172043,0.009583254465452955,0.578736667705939,0.42402612868595146,8.0,16.148933226143885,15.15692196828921,-0.4713591440614417,0.08914772151781893,0.012643190820260585,0.8847311827956988,0.07925686392406317,0.8791135852239632,0.37361386182747547,1.0,2.3267678103551077,2.7645931108816995,0.15774905726189664,0.0953248914174655,0.010149478979549435,0.9264516129032258,0.07537360585458487,0.8224360787043415,0.388251211120779,5.0
4803,96,275,259,0.0034911537882988102,0.0,0.0640898025588625,0.006745525581625648,0.0868272500574689,0.47721791335022157,0.5565651248771485,-0.042762093519485664,0.08637162000158465,0.005336712752089481,0.9550537634408602,0.01844673853301846,0.6122812996222365,0.4086969200096142,10.0,0.8483194430333205,0.8460412749567195,0.06938735875317127,0.08758445873244086,0.0053009606288338205,0.9593548387096773,0.02418988668307428,0.5539110479491289,0.4334664774106494,13.0,21.67266047241341,20.17872914551029,-0.5569428762164089,0.09000302798247292,0.013467890714615101,0.876774193548387,0.08072608568763343,0.863810903176065,0.4548340750277048,4.0,0.3835261843205676,0.24216483083812793,-0.037740703395889606,0.09194823667699523,0.011368441463755671,0.9217204301075268,0.023637665755837305,0.7598761090607636,0.4809086987992773,7.0
4804,96,275,259,0.0034911537882988102,0.0,0.0640898025588625,0.006745525581625648,0.0868272500574689,1.0321548182922546,0.9895421929553891,-0.07994023070942453,0.08667355708530827,0.005211413955425491,0.9589247311827955,0.023033205775701983,0.5721203694975964,0.4215381230579111,10.0,0.05011349742655864,0.05663492789346243,0.005302844758139641,0.08672500633178054,0.005944463949726598,0.9576344086021505,0.012694338803900052,0.6301440963284682,0.5137796703391299,10.0,16.77636717312236,15.820956161091809,-0.4813265804759164,0.08917089255310995,0.014437426831536466,0.8690322580645161,0.06914058584429444,0.8521453724583142,0.4416674477030078,5.0,0.842786534647262,0.6690963834018275,-0.07340281396928947,0.0931328562647707,0.01085120926144602,0.9169892473118278,0.03281411849459636,0.8087530302041567,0.4862746356756726,2.0
